id,LOCATION,TIME,GENDER,Population (% of total),EDU_TERTIARY_PC_WKGPOP,CPI_AGRWTH,GDP_USD_CAP,GOV_SPEND_EDU,%_Sanitation_Access,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM],Population ages 00-04 (as % of specified gender population),Population ages 05-09 (as % of specified gender population),Population ages 10-14 (as % of specified gender population),Population ages 15-19 (as % of specified gender population),Population ages 20-24 (as % of specified gender population),Population ages 25-29 (as % of specified gender population),Population ages 30-34 (as % of specified gender population),Population ages 35-39 (as % of specified gender population),Population ages 40-44 (as % of specified gender population),Population ages 45-49 (as % of specified gender population),Population ages 50-54 (as % of specified gender population),Population ages 55-59 (as % of specified gender population),Population ages 60-64 (as % of specified gender population),Population ages 65-69 (as % of specified gender population),Population ages 70-74 (as % of specified gender population),Population ages 75-79 (as % of specified gender population),Population ages 80 and older (as % of specified gender population),TER_Enrolment_rate,"GNI per capita, Atlas method (current US$)",Quality_of_life_measure
11,AUS,1999,MEN,49.86515132,25.668303,1.483129,26777.75563,,100,,100,100,100,6.84048542,17398,8.54,225688.989,8.507273372,203627,2652894.519,7.095165785,7.421712548,7.249886676,7.04504149,6.9345129,7.724573853,7.520196423,8.10956884,7.506716549,7.046593589,6.585598902,4.857963799,4.081212627,3.50915781,3.167749167,2.235150239,1.909198802,60.77320099,21460,0.176440596
12,AUS,1999,WOMEN,50.13484868,27.711052,1.483129,26777.75563,,100,,100,100,100,6.84048542,17398,8.54,225688.989,8.507273372,203627,2652894.519,6.597224719,6.867856721,6.794327714,6.693159243,6.749537827,7.665636936,7.488697849,7.966995901,7.525430632,7.015750053,6.310520802,4.665021128,3.992263488,3.591766189,3.498485645,2.933515566,3.643809585,74.01502991,21460,0.23949103
13,AUS,2000,MEN,49.88777575,26.104818,4.457435,27888.22951,4.892650127,100,100,100,100,100,6.704753755,17590,8.38,229780.2488,8.423342447,209864,2727898.696,6.973287669,7.425833397,7.25295891,7.056344803,6.707925385,7.622184665,7.377124068,8.099700101,7.563108965,7.000149818,6.778976032,5.040022499,4.164758017,3.496295284,3.177282297,2.335366831,1.928681258,60.3479805,21130,0.181306895
14,AUS,2000,WOMEN,50.11222425,28.838318,4.457435,27888.22951,4.892650127,100,100,100,100,100,6.704753755,17590,8.38,229780.2488,8.423342447,209864,2727898.696,6.481697595,6.834794488,6.768531255,6.689509393,6.543481178,7.594492877,7.389998951,7.928854786,7.569959468,7.027974158,6.524798526,4.842061987,4.058531441,3.559709861,3.458520012,3.007655805,3.719428221,73.95166016,21130,0.242175235
15,AUS,2001,MEN,49.89820449,27.158642,4.407135,29133.08851,,100,100,100,100,100,6.434317737,18162,8.1,230343.3236,8.37028223,224265,2751918.242,6.777146669,7.365238738,7.268064124,7.144201074,6.666076595,7.480188308,7.338591905,7.964865287,7.63302797,6.978183607,6.828921819,5.267481888,4.213111844,3.491359177,3.132656609,2.397798942,2.053085442,60.29922867,20130,0.189980819
16,AUS,2001,WOMEN,50.10179551,30.789335,4.407135,29133.08851,,100,100,100,100,100,6.434317737,18162,8.1,230343.3236,8.37028223,224265,2751918.242,6.332676603,6.774913299,6.765580264,6.755159584,6.48413902,7.448621694,7.366406046,7.815997298,7.610266546,7.034145856,6.630670777,5.076135191,4.11183897,3.543207498,3.383489333,3.020671481,3.84608054,73.96118164,20130,0.250891794
17,AUS,2002,MEN,49.89905877,29.45257,2.981575,30376.85316,,100,100,100,100,100,6.412698828,17874,7.86,242362.317,8.738721325,227378,2773429.979,6.634565892,7.261890331,7.280968452,7.182346708,6.734731174,7.239478169,7.393255647,7.748999839,7.720958911,6.994055735,6.779401145,5.557413517,4.254822371,3.52110705,3.072637426,2.444520638,2.178846994,68.3126297,19980,0.189996611
18,AUS,2002,WOMEN,50.10094123,32.061394,2.981575,30376.85316,,100,100,100,100,100,6.412698828,17874,7.86,242362.317,8.738721325,227378,2773429.979,6.220694242,6.686983173,6.756203461,6.777654166,6.525954277,7.207385684,7.425889761,7.642159603,7.660627912,7.060705086,6.652137307,5.365802165,4.164060486,3.561934171,3.304085012,3.012302128,3.975421366,83.50060272,19980,0.248649694
19,AUS,2003,MEN,49.89601699,29.933653,2.732596,31827.64206,,100,100,100,100,100,6.297904428,18619,8.39,197752.3656,7.139003177,221905,2770027.701,6.535580681,7.119392121,7.292906534,7.170969237,6.884461358,6.95530994,7.485967138,7.503997252,7.798329711,7.041848384,6.674164291,5.860061893,4.311649509,3.574225972,3.013786525,2.477268523,2.300080932,65.86239624,21130,0.198651881
20,AUS,2003,WOMEN,50.10398301,32.682934,2.732596,31827.64206,,100,100,100,100,100,6.297904428,18619,8.39,197752.3656,7.139003177,221905,2770027.701,6.144423453,6.574205096,6.742794204,6.755500703,6.639531096,6.922316575,7.519390331,7.445633863,7.701547224,7.105334754,6.620005239,5.667737194,4.233594911,3.606609204,3.230794719,2.98821609,4.102365344,81.26753235,21130,0.255075497
21,AUS,2004,MEN,49.89724506,29.046274,2.343255,33454.90467,,100,100,100,100,100,6.149718709,18683,8.14,188691.6482,6.668828026,229563,2829457.401,6.476273489,6.957078752,7.285327955,7.136991424,7.044372766,6.721829973,7.528051327,7.305913228,7.823478624,7.106429979,6.579410829,6.102383049,4.415586216,3.634430873,2.976495818,2.495459486,2.410486212,64.1803894,25520,0.201534377
22,AUS,2004,WOMEN,50.10275494,32.562542,2.343255,33454.90467,,100,100,100,100,100,6.149718709,18683,8.14,188691.6482,6.668828026,229563,2829457.401,6.10459689,6.450129538,6.71418912,6.709586688,6.75989328,6.682432334,7.564238456,7.28738211,7.703892277,7.157573493,6.584250435,5.919539068,4.347698193,3.662345916,3.178260028,2.956062575,4.217929598,79.58493042,25520,0.256824309
23,AUS,2005,MEN,49.90766544,30.226416,2.691832,35068.84566,4.912280083,100,100,100,100,100,6.001137337,20103,8.8,188970.0335,6.711975736,228347,2815415.921,6.461333664,6.804337455,7.2354138,7.10664135,7.154429819,6.600511268,7.467317073,7.194852508,7.774095878,7.174418408,6.533654933,6.243142226,4.579673833,3.693087344,2.970240961,2.499256739,2.507592743,64.20101929,30340,0.205461746
24,AUS,2005,WOMEN,50.09233456,33.12809,2.691832,35068.84566,4.912280083,100,100,100,100,100,6.001137337,20103,8.8,188970.0335,6.711975736,228347,2815415.921,6.105006659,6.334950264,6.656281459,6.661440197,6.833986675,6.545353792,7.509840564,7.202723025,7.651188019,7.207309666,6.575970854,6.085397536,4.516707111,3.72061418,3.154721311,2.92030943,4.318199259,80.80500793,30340,0.259617994
25,AUS,2006,MEN,49.92963316,30.650082,3.555288,37138.28415,4.742730141,100,100,100,100,100,6.068309792,21642,9.3,194988.4062,6.857191372,232727,2843560.805,6.455119034,6.65895793,7.13152851,7.221566523,7.308372552,6.64413169,7.332145157,7.150384995,7.599883882,7.211296213,6.487497284,6.255894477,4.771060659,3.723381886,2.95759637,2.455743236,2.6354396,62.78657913,34170,0.204585587
26,AUS,2006,WOMEN,50.07036684,35.344658,3.555288,37138.28415,4.742730141,100,100,100,100,100,6.068309792,21642,9.3,194988.4062,6.857191372,232727,2843560.805,6.109288145,6.227933572,6.568929964,6.729492504,6.95357141,6.56250358,7.376887653,7.184299974,7.513967679,7.226391822,6.558892379,6.138012725,4.706870465,3.749028519,3.135774751,2.852305179,4.40584968,80.67346191,34170,0.258722886
27,AUS,2007,MEN,49.95930139,31.389452,2.327611,38775.78024,4.646319866,100,100,100,100,100,6.049090187,21013,8.65,203770.9868,6.951585842,242979,2931287.788,6.518410998,6.526199007,6.979700052,7.281416137,7.42180098,6.813973122,7.110729727,7.197792983,7.365689088,7.247062893,6.481458565,6.174677885,5.011674847,3.750504668,2.973863345,2.401382539,2.743663164,63.23677826,37340,0.20718236
28,AUS,2007,WOMEN,50.04069861,36.054111,2.327611,38775.78024,4.646319866,100,100,100,100,100,6.049090187,21013,8.65,203770.9868,6.951585842,242979,2931287.788,6.174813523,6.131014024,6.448143005,6.75088522,7.030129686,6.693605283,7.159629665,7.247257284,7.325621276,7.246579923,6.565717614,6.112400906,4.938314831,3.779626793,3.141247422,2.783581723,4.471431822,82.39167786,37340,0.26014334
29,AUS,2008,MEN,49.98834953,33.012062,4.350298,39219.47467,4.627190113,100,100,100,100,100,6.048628654,19726,8.12,202492.3624,6.797058895,243073,2979117.373,6.621771732,6.412806511,6.815008791,7.256897029,7.507413466,7.066087618,6.865398897,7.281098527,7.127584918,7.254956785,6.509293816,6.042988497,5.254677652,3.793767617,3.010040247,2.350638467,2.829569432,63.02780151,42390,0.208134496
30,AUS,2008,WOMEN,50.01165047,39.232346,4.350298,39219.47467,4.627190113,100,100,100,100,100,6.048628654,19726,8.12,202492.3624,6.797058895,243073,2979117.373,6.275310964,6.049907183,6.320234325,6.70715609,7.072286043,6.897136466,6.918459838,7.340458363,7.129285778,7.250649117,6.592275955,6.042533944,5.170121346,3.831330254,3.161742648,2.721793517,4.519318169,83.50862122,42390,0.258794948
31,AUS,2009,MEN,50.00615712,33.912621,1.771117,40897.04122,5.086410046,100,100,100,100,100,5.9604191,18602,7.48,200437.9437,6.765441146,248687,2962673.674,6.716440084,6.32801646,6.658385815,7.148972441,7.577006536,7.325756934,6.695429792,7.32210497,6.953137023,7.212095305,6.551779744,5.926511998,5.438160705,3.880105931,3.055148427,2.320818504,2.89012933,65.46755981,44040,0.210026926
32,AUS,2009,WOMEN,49.99384288,39.784927,1.771117,40897.04122,5.086410046,100,100,100,100,100,5.9604191,18602,7.48,200437.9437,6.765441146,248687,2962673.674,6.366784669,5.992711203,6.200004306,6.601782487,7.092968413,7.103328927,6.746277622,7.389807278,6.984017388,7.219585679,6.626542829,5.978909452,5.35149104,3.925245667,3.189299484,2.678634687,4.552608871,88.93451691,44040,0.261731051
33,AUS,2010,MEN,50.00624546,34.390091,2.91834,42165.82842,5.555230141,100,100,100,100,100,5.863813454,21758,8.61,259845.8495,8.552761415,252651,3038151.504,6.76555579,6.280057193,6.513906181,6.988330242,7.618340226,7.543883186,6.661084498,7.281755711,6.870768397,7.119235772,6.589945298,5.864612945,5.531870615,4.018691285,3.104956221,2.319803295,2.927203145,68.39689636,46560,0.216636997
34,AUS,2010,WOMEN,49.99375454,40.772198,2.91834,42165.82842,5.555230141,100,100,100,100,100,5.863813454,21758,8.61,259845.8495,8.552761415,252651,3038151.504,6.415421992,5.967030873,6.089875897,6.459098214,7.088053884,7.265317852,6.697029628,7.357842717,6.91878366,7.148667075,6.657874755,5.951459351,5.458840406,4.064818406,3.224037584,2.659565377,4.576282329,94.45539856,46560,0.267254812
35,AUS,2011,MEN,49.98643004,34.573837,3.30385,43583.03701,5.098340034,100,100,100,100,100,5.759660434,26474,10.43,262414.6151,8.472197885,253907,3097361.732,6.874008897,6.279491697,6.404072886,6.913050091,7.515638948,7.620534903,6.726138262,7.140791871,6.845201889,6.997976034,6.612004842,5.85739828,5.530749768,4.188567453,3.148738583,2.341288025,3.004347571,70.15621185,50150,0.221155331
36,AUS,2011,WOMEN,50.01356996,42.043972,3.30385,43583.03701,5.098340034,100,100,100,100,100,5.759660434,26474,10.43,262414.6151,8.472197885,253907,3097361.732,6.49343811,5.960979992,6.018340382,6.410835235,7.037636919,7.328076706,6.715150383,7.211834972,6.909165299,7.027159242,6.687017197,5.965133706,5.503181994,4.225456842,3.258433062,2.650211911,4.597948047,97.79512787,50150,0.271811045
37,AUS,2012,MEN,49.95103815,37.532192,1.76278,43082.38768,4.899909973,100,100,100,100,100,5.488347892,26599,10.59,263680.7742,8.443705227,251108,3122808.851,6.873798658,6.32733063,6.298979136,6.827604671,7.422880778,7.639131097,6.897448295,6.943273854,6.890360422,6.842903249,6.637153159,5.890364983,5.470320758,4.393621896,3.196508135,2.382604464,3.065715816,71.44722748,59800,0.228002762
38,AUS,2012,WOMEN,50.04896185,44.97641,1.76278,43082.38768,4.899909973,100,100,100,100,100,5.488347892,26599,10.59,263680.7742,8.443705227,251108,3122808.851,6.482748356,5.992514511,5.938829112,6.353691528,6.979942392,7.358156556,6.839766768,7.003537003,6.962914,6.879286646,6.709685609,6.010593499,5.494821443,4.422400434,3.303613171,2.66009753,4.607401441,100.4042282,59800,0.277534267
39,AUS,2013,MEN,49.90812602,35.101803,2.449889,47002.99005,5.285840034,100,100,100,100,100,5.346124565,33110,13.26,298472.4192,9.320593129,249621,3202289.974,6.802695182,6.414927969,6.212748603,6.709048747,7.353305066,7.607500612,7.116445361,6.747926731,6.956510751,6.685766962,6.651337616,5.942671245,5.390555402,4.591583401,3.263067637,2.433543703,3.12036501,72.46238708,65560,0.238853961
40,AUS,2013,WOMEN,50.09187398,43.913063,2.449889,47002.99005,5.285840034,100,100,100,100,100,5.346124565,33110,13.26,298472.4192,9.320593129,249621,3202289.974,6.413946251,6.057929213,5.861191125,6.274086727,6.916997309,7.361255454,7.022165738,6.790710685,7.027348276,6.739506181,6.709868276,6.075063493,5.460505961,4.622806131,3.370123888,2.679259744,4.61723555,101.6734085,65560,0.286155999
41,AUS,2014,MEN,49.86853915,38.390442,2.487923,46920.61776,5.22533989,100,100,100,100,100,5.164669683,37008,14.91,302762.4452,9.497567815,248264,3187789.243,6.725312274,6.515009856,6.156772214,6.558438813,7.295594959,7.550146393,7.304179952,6.629032224,6.979188868,6.567561969,6.634764094,5.990539424,5.336098185,4.734875357,3.362258921,2.487264527,3.172961972,75.4020462,64740,0.247515224
42,AUS,2014,WOMEN,50.13146085,45.340527,2.487923,46920.61776,5.22533989,100,100,100,100,100,5.164669683,37008,14.91,302762.4452,9.497567815,248264,3187789.243,6.340539055,6.135639323,5.79924109,6.167530365,6.846266568,7.348459131,7.193261159,6.648079846,7.039966622,6.643227785,6.675084837,6.135928237,5.437494875,4.784276603,3.46812744,2.704229493,4.632647573,106.3088074,64740,0.293716739
43,AUS,2015,MEN,49.83969022,38.441013,1.508367,46761.16774,,100,,,,,,,,,,,,6.686717329,6.58985029,6.1382425,6.398409324,7.221711705,7.49258533,7.417755753,6.617443486,6.933007464,6.506118051,6.580003406,6.023586997,5.323783766,4.808441006,3.492465616,2.545057083,3.224820893,,60180,0.234773855
44,AUS,2015,WOMEN,50.16030978,47.239651,1.508367,46761.16774,,100,,,,,,,,,,,,6.298924956,6.194099377,5.766386892,6.042808441,6.759733642,7.325719727,7.31458714,6.611039472,6.979043093,6.598926815,6.608660499,6.176734552,5.445878958,4.887121934,3.597207756,2.739043616,4.65408313,,60180,0.279724675
45,AUS,2016,MEN,49.82354192,39.76762,1.276991,48177.78556,,,,,,,,,,,,,,6.621179916,6.655613189,6.194611638,6.291580528,7.076008602,7.449075942,7.47487386,6.661719501,6.837321709,6.483563291,6.500742491,6.059773634,5.334395421,4.844767415,3.624719746,2.583086183,3.306966935,,54230,0.238984288
46,AUS,2016,WOMEN,50.17645808,47.630001,1.276991,48177.78556,,,,,,,,,,,,,,6.239200152,6.262718399,5.827007142,5.965258419,6.630163131,7.247907438,7.370058587,6.640447717,6.874225868,6.579384534,6.535354939,6.204207775,5.483477172,4.951685574,3.74531597,2.769593707,4.673993478,,54230,0.28397727
47,AUT,1999,MEN,48.49902796,,,,6.137949944,100,,100,100,100,4.01507657,42348,70.68,242516.0559,26.43830598,59916,917290.45,5.644896309,6.220764497,6.142141561,6.260101575,6.19528247,7.622890594,9.28780169,9.191968782,7.752861734,6.360928447,6.363617505,6.24862826,4.881511138,3.956091011,3.524100235,2.337687815,2.008726378,53.4466095,27090,0.559042143
48,AUT,1999,WOMEN,51.50097204,,,,6.137949944,100,,100,100,100,4.01507657,42348,70.68,242516.0559,26.43830598,59916,917290.45,5.040658132,5.561880985,5.495896081,5.623790066,5.641950384,7.026692774,8.450649877,8.288895218,7.104181624,5.954269279,6.036412765,6.137729497,4.996354672,4.389684264,4.864843094,4.503421399,4.882689888,55.63082886,27090,0.541650194
49,AUT,2000,MEN,48.53476322,,,,5.604720116,100,100,100,100,100,3.870489939,43435,72.54,242410.5678,26.38785253,59874,918644.5449,5.455897808,6.217463775,6.108128783,6.291664496,6.083693102,7.256963275,9.072914847,9.323987004,8.069315627,6.48168575,6.272718545,6.336807949,5.065795051,3.97497296,3.530841047,2.489120121,1.968029856,54.37963104,26790,0.56117999
50,AUT,2000,WOMEN,51.46523678,,,,5.604720116,100,100,100,100,100,3.870489939,43435,72.54,242410.5678,26.38785253,59874,918644.5449,4.881513324,5.570097032,5.475560046,5.658854884,5.536289103,6.713209557,8.302736034,8.42833586,7.386117366,6.070473638,5.947546662,6.220586621,5.187036827,4.357610829,4.671345517,4.718036096,4.874650603,58.85665894,26790,0.543976078
51,AUT,2001,MEN,48.56022441,,,,5.588779926,100,100,100,100,100,4.035368616,42232,69.16,249324.5032,25.48367936,61067,978369.3306,5.213961948,6.174395161,6.150439642,6.358486459,6.111073248,6.948066876,8.767745394,9.358266739,8.327391076,6.645189772,6.171012906,6.326927224,5.244834559,4.022721632,3.50231214,2.594011425,2.083163797,53.58699036,25300,0.559170788
52,AUT,2001,WOMEN,51.43977559,,,,5.588779926,100,100,100,100,100,4.035368616,42232,69.16,249324.5032,25.48367936,61067,978369.3306,4.666871686,5.533569225,5.519573196,5.736883764,5.574861114,6.453994234,8.072420211,8.491844972,7.626419799,6.231930297,5.864672557,6.209075717,5.366937249,4.365560932,4.468430551,4.727489139,5.089465359,60.16265869,25300,0.548647995
53,AUT,2002,MEN,48.57639829,,,,5.540100098,100,100,100,100,100,4.005342175,41895,69.01,242477.5525,24.68486486,60706,982292.4041,5.106367363,6.061142886,6.203598725,6.359011996,6.220073898,6.690312294,8.393480792,9.331249684,8.554891937,6.87748646,6.082882017,6.239307587,5.443867996,4.109277724,3.447537582,2.67123045,2.208280609,43.18597031,24970,0.559029582
54,AUT,2002,WOMEN,51.42360171,,,,5.540100098,100,100,100,100,100,4.005342175,41895,69.01,242477.5525,24.68486486,60706,982292.4041,4.573819335,5.434636313,5.57028049,5.750103454,5.690098716,6.232914488,7.780104389,8.509675943,7.835949436,6.452469673,5.803629593,6.117495015,5.563730172,4.43726672,4.283334246,4.605614674,5.358877342,50.01845932,24970,0.553146478
55,AUT,2003,MEN,48.58686951,,,,5.381849766,100,100,100,100,100,4.206381086,35313,60.78,234549.3446,22.57879837,58097,1038803.486,5.098665993,5.885874304,6.257564712,6.314407037,6.372508051,6.498829924,7.987529932,9.241686118,8.743371752,7.153347404,6.0308751,6.102846849,5.634161986,4.228434656,3.390929193,2.728381288,2.330585703,42.85646057,27990,0.555530301
56,AUT,2003,WOMEN,51.41313049,,,,5.381849766,100,100,100,100,100,4.206381086,35313,60.78,234549.3446,22.57879837,58097,1038803.486,4.571326071,5.28102662,5.620032816,5.715858567,5.845347039,6.066426658,7.457708085,8.477367352,8.009134373,6.71046706,5.780281639,5.976572174,5.749854346,4.558312991,4.128905143,4.41312318,5.638255886,50.1242981,27990,0.547842633
57,AUT,2004,MEN,48.59670602,28.642731,2.061207,33765.56574,5.310060024,100,100,100,100,100,4.156259043,39772,64.2,244256.6221,23.2193694,61948,1051952.006,5.112570462,5.685859529,6.281737568,6.269817002,6.512435579,6.387344767,7.605270994,9.08855503,8.887658433,7.437506558,6.043626767,5.964014416,5.775088471,4.373420243,3.366983889,2.768376141,2.439734151,43.29761124,33720,0.546898855
58,AUT,2004,WOMEN,51.40329398,20.959906,2.061207,33765.56574,5.310060024,100,100,100,100,100,4.156259043,39772,64.2,244256.6221,23.2193694,61948,1051952.006,4.588524167,5.10600749,5.641886957,5.675198895,5.986252374,5.971644367,7.151744047,8.38847639,8.14660378,6.974246107,5.813489607,5.83704709,5.886411263,4.708915927,4.027027417,4.224555136,5.871968987,51.24232864,33720,0.546129175
59,AUT,2005,MEN,48.60947682,27.894495,2.299138,35024.55748,5.271669865,100,100,100,100,100,4.176705531,40610,63.39,258445.306,24.06483909,64065,1073954.016,5.089830434,5.515671629,6.246019812,6.253721593,6.602445278,6.357084978,7.283641641,8.873972192,8.983541867,7.705694258,6.134505998,5.853926874,5.842935012,4.538193481,3.394316983,2.79106065,2.53343732,43.54257965,38690,0.549877272
60,AUT,2005,WOMEN,51.39052318,21.409132,2.299138,35024.55748,5.271669865,100,100,100,100,100,4.176705531,40610,63.39,258445.306,24.06483909,64065,1073954.016,4.571862909,4.958391851,5.609349497,5.655676388,6.075494678,5.95256928,6.892710458,8.241872106,8.248874186,7.220888736,5.911405539,5.732557808,5.949858037,4.874720536,3.991916252,4.074644527,6.037207212,52.16941833,38690,0.552374906
61,AUT,2006,MEN,48.62629265,28.601042,1.441547,37631.12782,5.26237011,100,100,100,100,100,4.054619163,40988,66,281671.9055,26.34641378,62099,1069109.093,5.092391597,5.372268347,6.154086362,6.264746278,6.622343126,6.365998363,6.994461295,8.598583265,9.041421511,7.969003309,6.301260575,5.760794368,5.828113725,4.707564169,3.44495389,2.773497918,2.708511902,44.86262894,41420,0.563424393
